,school_years,mortality_5,poverty_percentage,ferr_rate
798,13.63906,3.5663,0.4,10.254
799,13.11373,3.9192,0.4,11.92
800,13.05848,3.7291,0.2,13.229
801,13.12237,3.2763,0.1,14.358
802,13.16786,4.4256,0.1,15.199
803,13.18405,4.0454,0.1,15.93
804,13.15191,4.2066,0.1,16.669
805,12.89906,4.3017,0.0,17.026
806,12.85077,4.3845,0.3,18.851
807,12.80293,5.0467,0.3,19.723
808,13.27253,5.183,0.5,20.477
809,11.73416,11.731,2.2,37.965
810,11.93532,11.5493,2.0,38.316
811,12.07242,12.6505,1.5,41.957
812,12.04156,13.4468,0.8,48.499
813,11.96637,14.3179,1.4,47.617
814,11.72324,15.3788,1.7,42.254
815,11.40574,17.7097,2.6,40.107
816,10.83589,51.0253,18.7,41.516
817,10.67129,63.867,22.8,43.257
818,9.15508,105.1777,29.3,40.047
819,6.99878,184.9433,36.0,46.857
820,12.0008,20.223,0.4,41.451
821,7.76321,62.1645,14.3,80.87
822,6.37203,92.4193,13.9,91.502
823,5.32339,123.3661,18.2,97.69
824,11.63316,6.8798,4.3,18.805
825,11.63115,7.1741,3.2,18.644
826,11.60012,7.2296,2.9,19.294
827,11.57423,14.4962,0.5,58.776
828,10.28913,148.1603,10.6,136.093
829,5.02261,257.1675,48.0,167.803
830,13.52008,2.4869,0.0,4.966
831,13.68784,3.2867,0.0,4.763
832,12.75529,2.5138,0.0,4.813
833,12.71594,3.5789,0.0,5.164
834,12.71183,3.2295,0.0,5.319
835,12.70891,3.4201,0.0,5.588
836,12.70913,3.7491,0.0,5.614
837,12.73252,3.9855,0.0,5.423
838,12.77753,4.6467,0.0,5.252
839,12.76144,5.5452,0.1,5.915
840,12.71289,5.5349,0.0,5.671
841,10.63908,24.9142,7.3,64.994
842,8.40388,29.2913,20.1,65.94
843,11.67107,41.7828,6.9,83.046
844,11.25044,53.098,5.5,67.824
845,11.31507,67.3603,5.4,70.671
846,11.44448,78.2201,9.3,56.003
